,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
24,5a4667b4afc4bea61b617a839fec61ccf2071a40,2015-04-14 19:54:07+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
25,f0fecb173f9117c7b5cffaf04f7d797fb4421303,2015-08-19 04:15:37+02:00,SQL_INJECTION,,,,
26,30ea4630514b766b2a1070e6a20df2aeb583cbea,2015-08-19 05:36:40+02:00,SQL_INJECTION,,,,
27,3d805aeaf8ca1af039d6467fd848d364ec085f66,2015-11-24 19:10:10+01:00,CVE-2015-8213,CWE-200,2015-12-07T20:59Z,MEDIUM,
28,2e2e099a73e728a2bfddc918d9acf473b3a86eef,2015-11-24 20:05:39+01:00,CVE-2015-8213,CWE-200,2015-12-07T20:59Z,MEDIUM,
29,ecd502cfdb57706dd0e84d9928934bcae6b1ef25,2016-02-01 18:42:37+01:00,CVE-2016-2048,CWE-284,2016-02-08T19:59Z,MEDIUM,4.2
30,34fae0a4f7b0702cf9e4c72a8a3b82040a426595,2016-02-01 18:43:02+01:00,CVE-2016-2048,CWE-284,2016-02-08T19:59Z,MEDIUM,4.2
31,c5544d289233f501917e25970c03ed444abbd4f0,2016-03-01 17:25:28+01:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
32,67b46ba7016da2d259c1ecc7d666d11f5e1cfaab,2016-03-01 17:25:28+01:00,CVE-2016-2513,CWE-200,2016-04-08T15:59Z,LOW,1.4
33,af7d09b0c5c6ab68e629fd9baf736f9dd203b18e,2016-03-01 17:38:49+01:00,CVE-2016-2513,CWE-200,2016-04-08T15:59Z,LOW,1.4
34,fc6d147a63f89795dbcdecb0559256470fff4380,2016-03-01 17:38:49+01:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
35,24fc9352183c449a8b11d1c7b442e70aa61a8800,2016-03-01 18:32:42+01:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
36,a53ee2bbf4e6676ba67160a04d02be63c2bff767,2016-03-01 18:36:17+01:00,CVE-2016-2512,CWE-79,2016-04-08T15:59Z,MEDIUM,4.0
37,762cda75a91278133fd9397e19080e13a7d6cc07,2016-07-18 13:07:28+02:00,CVE-2016-4448,CWE-134,2016-06-09T16:59Z,HIGH,5.9
38,bc53af13cbf09b0cbac945426c2d51d0ca52fff3,2016-07-18 21:19:35+02:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.7
39,658f545b0c979e0355ceb6631edcc06446c37530,2016-07-18 21:20:30+02:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.7
40,57c4db8c6903e3e95f53f8f0ca448231b385071f,2016-07-18 21:20:38+02:00,CVE-2016-6186,CWE-79,2016-08-05T15:59Z,MEDIUM,2.7
41,18ac91040d9c57351d26ba998f460e214255b704,2016-07-19 11:11:25+02:00,SQL_INJECTION,,,,
42,562d52585902090f4e53eb21c61314098c29d795,2016-07-19 13:50:26+02:00,SQL_INJECTION,,,,
43,ea6ee1a2251f8a5655d749eb6b97680538cad4c2,2016-07-28 11:11:32+02:00,SQL_INJECTION,,,,
44,d1bc980db1c0fffd6d60677e62f70beadb9fe64a,2016-09-26 18:54:36+02:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
45,6fe846a8f08dc959003f298b5407e321c6fe3735,2016-09-27 00:01:19+02:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
46,a1c2b2095fc126a37c461f6533c068f50e78939a,2016-09-27 00:22:14+02:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
47,48b1e9fb1746569b13f84158f98c47a557a92ec4,2016-09-27 00:22:19+02:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
48,4844d86c7728c1a5a3bbce4ad336a8d32304072b,2016-10-25 20:31:42+02:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
49,45acd6d836895a4c36575f48b3fb36a3dae98d19,2016-10-25 21:18:29+02:00,CVE-2016-9014,CWE-264,2016-12-09T20:59Z,MEDIUM,5.9
50,da7910d4834726eca596af0a830762fa5fb2dfd9,2016-11-01 14:30:57+01:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
51,7fe2d8d940fdddd1a02c4754008a27060c4a03e9,2016-11-01 14:30:57+01:00,CVE-2016-9014,CWE-264,2016-12-09T20:59Z,MEDIUM,5.9
52,884e113838e5a72b4b0ec9e5e87aa480f6aa4472,2016-11-01 14:36:44+01:00,CVE-2016-9014,CWE-264,2016-12-09T20:59Z,MEDIUM,5.9
53,34e10720d81b8d407aa14d763b6a7fe8f13b4f2e,2016-11-01 14:36:44+01:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
54,b8ae2c16cfc4bf88c1720eafd8e35438181a7413,2016-11-01 15:48:11+01:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
55,b04594135f58ee1bd6b7e42fcdc6036761974feb,2016-11-01 15:48:41+01:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
56,734ef022a17180288a2ea65e2319676692bc9926,2016-11-01 15:48:49+01:00,CVE-2016-9013,CWE-798,2016-12-09T20:59Z,HIGH,5.9
57,6af2a433909a25be951a362f8e56ce58dcbbe180,2016-12-28 23:21:23+01:00,CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
58,96ee5c373e529eb3313bf8174ab095ab12588f21,2016-12-28 23:50:10+01:00,CVE-2016-10074,CWE-77,2016-12-30T19:59Z,HIGH,5.9
59,5ef84930f4dd8dea9c1b9d3ee3f99ca02a0963cf,2017-01-28 00:00:37+01:00,SQL_INJECTION,,,,
