,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
227,a847b3efd40bae788414deb9029b6854b8f4d375,2018-03-04 06:47:00+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
228,a847b3efd40bae788414deb9029b6854b8f4d375,2018-03-04 06:47:00+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2013-1752,,2019-06-03T20:15Z,,
229,a847b3efd40bae788414deb9029b6854b8f4d375,2018-03-04 06:47:00+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
230,0902a2d6b2d1d9dbde36aeaaccf1788ceaa97143,2018-03-04 06:55:07+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
231,0902a2d6b2d1d9dbde36aeaaccf1788ceaa97143,2018-03-04 06:55:07+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2013-1752,,2019-06-03T20:15Z,,
232,0902a2d6b2d1d9dbde36aeaaccf1788ceaa97143,2018-03-04 06:55:07+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
233,e052d40cea15f582b50947f7d906b39744dc62a2,2018-03-04 07:18:17+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
234,e052d40cea15f582b50947f7d906b39744dc62a2,2018-03-04 07:18:17+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2013-1752,,2019-06-03T20:15Z,,
235,e052d40cea15f582b50947f7d906b39744dc62a2,2018-03-04 07:18:17+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
236,c9516754067d71fd7429a25ccfcb2141fc583523,2018-03-04 07:59:12+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
237,c9516754067d71fd7429a25ccfcb2141fc583523,2018-03-04 07:59:12+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2013-1752,,2019-06-03T20:15Z,,
238,c9516754067d71fd7429a25ccfcb2141fc583523,2018-03-04 07:59:12+01:00,".bzrignore,.gitignore,.gitattributes,aclocal.m4,config.guess,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,.hgignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
239,97b7dd59bb8d6163239061e2022153c3415d146d,2018-03-06 14:30:40+01:00,".eslintrc,.gitattributes,.gitignore,.hgignore,AUTHORS,CONTRIBUTING.rst,Gruntfile.js,INSTALL,LICENSE,LICENSE.python,MANIFEST.in,README.rst,package.json,setup.cfg,setup.py,tox.ini,.eslintignore,.editorconfig",CVE-2018-7537,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
240,8618271caa0b09daba39ff3b46567d33ae1e1d3a,2018-03-06 14:30:40+01:00,"AUTHORS,Gruntfile.js,CONTRIBUTING.rst,.editorconfig,.eslintignore,.eslintrc,.gitattributes,.gitignore,.hgignore,tox.ini,setup.py,setup.cfg,package.json,README.rst,MANIFEST.in,LICENSE.python,LICENSE,INSTALL",CVE-2018-7536,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
241,e157315da3ae7005fa0683ffc9751dbeca7306c8,2018-03-06 14:52:23+01:00,"package.json,README.rst,MANIFEST.in,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.eslintrc,.gitattributes,.eslintignore,.editorconfig,LICENSE,LICENSE.python,setup.py,tox.ini,setup.cfg",CVE-2018-7536,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
242,94c5da1d17a6b0d378866c66b605102c19f7988c,2018-03-06 14:52:23+01:00,"README.rst,.editorconfig,.eslintignore,.eslintrc,.gitattributes,.gitignore,.hgignore,AUTHORS,CONTRIBUTING.rst,Gruntfile.js,INSTALL,LICENSE,LICENSE.python,MANIFEST.in,package.json,setup.cfg,setup.py,tox.ini",CVE-2018-7537,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
243,5bbbdd26d1ea4f3bb164ad64b0d0d458d8bfdd02,2018-03-06 18:59:36+01:00,"LICENSE.python,setup.cfg,package.json,README.rst,MANIFEST.in,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintrc,.eslintignore,.editorconfig,tox.ini,setup.py",CVE-2018-7536,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
244,7636aca6771649c41df96fd4a6eb3226a1c5a4fa,2018-03-06 19:04:28+01:00,".gitattributes,.eslintrc,.eslintignore,.editorconfig,LICENSE,LICENSE.python,MANIFEST.in,.hgignore,AUTHORS,CONTRIBUTING.rst,tox.ini,Gruntfile.js,INSTALL,setup.py,setup.cfg,package.json,README.rst,.gitignore",CVE-2018-7536,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
245,c8e5c1f4205078d8b58420cc585917384e51dab2,2018-03-06 19:04:55+01:00,".eslintrc,package.json,setup.cfg,setup.py,tox.ini,LICENSE,INSTALL,Gruntfile.js,CONTRIBUTING.rst,AUTHORS,.hgignore,.gitignore,.gitattributes,.eslintignore,.editorconfig,LICENSE.python,MANIFEST.in,README.rst",CVE-2018-7536,CWE-185,2018-03-09T20:29Z,MEDIUM,1.4
246,81578d4b93977f32e9c6b6b832ff0cc450e176e5,2018-03-08 20:20:08+01:00,".hgtags,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,config.guess,config.sub,configure,configure.ac,setup.py,pyconfig.h.in,install-sh,.gitignore,.hgignore,.gitattributes,.hgeol,.bzrignore",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
